Track name,Artist name,Album,Playlist name,Type,ISRC
"Naoki - Safe Intoxication","","","Tudo e qualquer coisa","Playlist",""
"You Will Know Our Names - Xenoblade Chronicles: Definitive Edition OST [075] [DE]","","","Tudo e qualquer coisa","Playlist",""
"MAKOTCH, YURI, TOMICA - Receive You","","","Tudo e qualquer coisa","Playlist",""
"Ted Poley & Tony Harnell - Escape From The City ... for City Escape","","","Tudo e qualquer coisa","Playlist",""
"Arc System Works - Lust SIN II","","","Tudo e qualquer coisa","Playlist",""
"Fuki - Sword of Doom II","","","Tudo e qualquer coisa","Playlist",""
"MOB CHOIR · 佐々木淳一 · 佐々木淳一 · 前口 渉 - 99","","","Tudo e qualquer coisa","Playlist",""
"Castlevania Sound Team · Konami Kukeiha Club - Bloody Tears","","","Tudo e qualquer coisa","Playlist",""
"Daisuke Ishiwatari - Marionette","","","Tudo e qualquer coisa","Playlist",""
"NAOKI · Arc System Works - The Roar of the Spark","","","Tudo e qualquer coisa","Playlist",""
"Magnus Ringblom Quartet - As Life Turns Around","","","Tudo e qualquer coisa","Playlist",""
"Magnus Ringblom - Better Late Than Never","","","Tudo e qualquer coisa","Playlist",""
"Vansire - Kind of a Nice Time","","","Tudo e qualquer coisa","Playlist",""
"HYBS - Killer","","","Tudo e qualquer coisa","Playlist",""
"Last Dinosaurs - Andy","","","Tudo e qualquer coisa","Playlist",""
"Sleepy Soul · Michael LeFevre · Michael LeFevre · Nick Hummel · Nick Hummel - A Wash","","","Tudo e qualquer coisa","Playlist",""
"Crumb - Part III","","","Tudo e qualquer coisa","Playlist",""
"Tipling Rock - Low Tide Love","","","Tudo e qualquer coisa","Playlist",""
"SIE Sound Team · Tsukasa Saitoh · Penka Kouneva - The First Hunter","","","Tudo e qualquer coisa","Playlist",""
"SIE Sound Team · Yuka Kitamura · Jim Fowler - Lady Maria of the Astral Clocktower","","","Tudo e qualquer coisa","Playlist",""
"Patrick Watson - Je te laisserai des mots","","","Tudo e qualquer coisa","Playlist",""
"Bon Jovi - Runaway","","","Tudo e qualquer coisa","Playlist",""
"Bring Me The Horizon - True Friends","","","Tudo e qualquer coisa","Playlist",""
"mgk · Bring Me The Horizon - maybe","","","Tudo e qualquer coisa","Playlist",""
"Bring Me The Horizon - YOUtopia","","","Tudo e qualquer coisa","Playlist",""
"Bring Me The Horizon - MANTRA","","","Tudo e qualquer coisa","Playlist",""
"Bring Me The Horizon - Sleepwalking","","","Tudo e qualquer coisa","Playlist",""
"Bring Me The Horizon - Kool-Aid","","","Tudo e qualquer coisa","Playlist",""
"Bring Me The Horizon - DArkSide","","","Tudo e qualquer coisa","Playlist",""
"Bring Me The Horizon - Shadow Moses","","","Tudo e qualquer coisa","Playlist",""
"Bring Me The Horizon - Drown","","","Tudo e qualquer coisa","Playlist",""
"Bring Me The Horizon - Teardrops","","","Tudo e qualquer coisa","Playlist",""
"Bring Me The Horizon - Top 10 staTues tHat CriEd bloOd","","","Tudo e qualquer coisa","Playlist",""
"Bring Me The Horizon - Parasite Eve","","","Tudo e qualquer coisa","Playlist",""
"Bring Me The Horizon - Follow You","","","Tudo e qualquer coisa","Playlist",""
"Bring Me The Horizon - Avalanche","","","Tudo e qualquer coisa","Playlist",""
"Bring Me The Horizon · Nova Twins - 1x1","","","Tudo e qualquer coisa","Playlist",""
